category,category_id
TV Mysteries,1
Sci-Fi & Fantasy,2
Spanish-Language TV Shows,3
Documentaries,4
Comedies,5
Anime Features,6
Stand-Up Comedy,7
Reality TV,8
TV Thrillers,9
Romantic Movies,10
Anime Series,11
Dramas,12
Sports Movies,13
Children & Family Movies,14
Horror Movies,15
LGBTQ Movies,16
Classic & Cult TV,17
Independent Movies,18
Kids' TV,19
British TV Shows,20
International Movies,21
TV Shows,22
TV Action & Adventure,23
Science & Nature TV,24
TV Sci-Fi & Fantasy,25
TV Dramas,26
Thrillers,27
TV Comedies,28
Action & Adventure,29
Stand-Up Comedy & Talk Shows,30
Movies,31
Cult Movies,32
International TV Shows,33
Romantic TV Shows,34
Korean TV Shows,35
Docuseries,36
Teen TV Shows,37
Classic Movies,38
Faith & Spirituality,39
Crime TV Shows,40
Music & Musicals,41
TV Horror,42
